,date,time,customer_no,location
0,2020-04-08,07:00:00,1,fruit
1,2020-04-08,07:03:00,1,checkout
2,2020-04-08,07:03:00,2,fruit
3,2020-04-08,07:07:00,2,checkout
4,2020-04-08,07:14:00,4,fruit
5,2020-04-08,07:15:00,3,fruit
6,2020-04-08,07:16:00,3,spices
7,2020-04-08,07:16:00,4,checkout
8,2020-04-08,07:17:00,3,fruit
9,2020-04-08,07:19:00,3,checkout
10,2020-04-08,07:20:00,5,spices
11,2020-04-08,07:20:00,6,fruit
12,2020-04-08,07:20:00,7,spices
13,2020-04-08,07:21:00,5,drinks
14,2020-04-08,07:21:00,10,spices
15,2020-04-08,07:21:00,10,checkout
16,2020-04-08,07:22:00,5,checkout
17,2020-04-08,07:22:00,7,drinks
18,2020-04-08,07:23:00,8,dairy
19,2020-04-08,07:23:00,9,fruit
20,2020-04-08,07:24:00,6,dairy
21,2020-04-08,07:24:00,8,spices
22,2020-04-08,07:26:00,7,checkout
23,2020-04-08,07:27:00,8,checkout
24,2020-04-08,07:27:00,11,fruit
25,2020-04-08,07:28:00,12,dairy
26,2020-04-08,07:29:00,6,drinks
27,2020-04-08,07:30:00,11,checkout
28,2020-04-08,07:30:00,12,drinks
29,2020-04-08,07:30:00,14,drinks
30,2020-04-08,07:31:00,9,dairy
31,2020-04-08,07:32:00,12,fruit
32,2020-04-08,07:32:00,13,dairy
33,2020-04-08,07:33:00,6,checkout
34,2020-04-08,07:33:00,9,drinks
35,2020-04-08,07:33:00,12,checkout
36,2020-04-08,07:33:00,14,fruit
37,2020-04-08,07:34:00,14,checkout
38,2020-04-08,07:35:00,15,dairy
39,2020-04-08,07:35:00,16,drinks
40,2020-04-08,07:36:00,9,checkout
41,2020-04-08,07:36:00,17,fruit
42,2020-04-08,07:37:00,13,fruit
43,2020-04-08,07:38:00,13,drinks
44,2020-04-08,07:38:00,13,checkout
45,2020-04-08,07:38:00,17,spices
46,2020-04-08,07:39:00,15,fruit
47,2020-04-08,07:39:00,16,spices
48,2020-04-08,07:39:00,18,dairy
49,2020-04-08,07:40:00,15,dairy
50,2020-04-08,07:40:00,19,drinks
51,2020-04-08,07:41:00,15,fruit
52,2020-04-08,07:41:00,20,fruit
53,2020-04-08,07:41:00,20,checkout
54,2020-04-08,07:42:00,15,checkout
55,2020-04-08,07:42:00,16,checkout
56,2020-04-08,07:42:00,19,checkout
57,2020-04-08,07:43:00,18,drinks
58,2020-04-08,07:44:00,17,dairy
59,2020-04-08,07:47:00,18,fruit
60,2020-04-08,07:48:00,21,fruit
61,2020-04-08,07:48:00,21,checkout
62,2020-04-08,07:48:00,22,fruit
63,2020-04-08,07:49:00,18,drinks
64,2020-04-08,07:49:00,22,checkout
65,2020-04-08,07:50:00,17,fruit
66,2020-04-08,07:50:00,23,fruit
67,2020-04-08,07:50:00,23,checkout
68,2020-04-08,07:50:00,25,drinks
69,2020-04-08,07:51:00,24,dairy
70,2020-04-08,07:51:00,25,fruit
71,2020-04-08,07:52:00,18,checkout
72,2020-04-08,07:52:00,24,spices
73,2020-04-08,07:52:00,25,checkout
74,2020-04-08,07:53:00,24,dairy
75,2020-04-08,07:53:00,28,fruit
76,2020-04-08,07:53:00,28,checkout
77,2020-04-08,07:53:00,29,fruit
78,2020-04-08,07:54:00,17,checkout
79,2020-04-08,07:54:00,24,checkout
80,2020-04-08,07:56:00,29,dairy
81,2020-04-08,07:57:00,29,spices
82,2020-04-08,07:57:00,29,checkout
83,2020-04-08,07:58:00,31,fruit
84,2020-04-08,07:58:00,32,fruit
85,2020-04-08,07:59:00,26,spices
86,2020-04-08,07:59:00,30,dairy
87,2020-04-08,07:59:00,31,spices
88,2020-04-08,08:00:00,26,drinks
89,2020-04-08,08:00:00,27,dairy
90,2020-04-08,08:00:00,30,spices
91,2020-04-08,08:00:00,31,checkout
92,2020-04-08,08:01:00,27,drinks
93,2020-04-08,08:01:00,27,checkout
94,2020-04-08,08:01:00,30,drinks
